course,dept_abbv,course_no
MUHST210,MUHST,210
MUSAP217,MUSAP,217
MUSED301,MUSED,301
MUSEN325,MUSEN,325
MUSEN369,MUSEN,369
MUSEN381,MUSEN,381
MUSEN389,MUSEN,389
MUSIC216,MUSIC,216
MUSIC250,MUSIC,250
MUSIC301,MUSIC,301
MUSIC302,MUSIC,302
MUSIC305,MUSIC,305
MUSIC306,MUSIC,306
MUSIC350,MUSIC,350
MUSIC352,MUSIC,352
MUSIC382,MUSIC,382
MUSICP320,MUSICP,320
MUSICP342,MUSICP,342
N SCI202,N SCI,202
N SCI321,N SCI,321
N SCI323,N SCI,323
NEAR E230,NEAR E,230
NEAR E308,NEAR E,308
NEAR E311,NEAR E,311
NEAR E317,NEAR E,317
NEAR E345,NEAR E,345
NEAR E350,NEAR E,350
NEAR E392,NEAR E,392
NORW312,NORW,312
NURS309,NURS,309
NUTR341,NUTR,341
OCEAN220,OCEAN,220
OCEAN286,OCEAN,286
OCEAN310,OCEAN,310
OCEAN320,OCEAN,320
OCEAN351,OCEAN,351
OCEAN355,OCEAN,355
PHG302,PHG,302
PHIL267,PHIL,267
PHIL332,PHIL,332
PHIL335,PHIL,335
PHIL342,PHIL,342
PHIL346,PHIL,346
PHIL360,PHIL,360
PHYS225,PHYS,225
PHYS226,PHYS,226
PHYS227,PHYS,227
PHYS324,PHYS,324
PHYS328,PHYS,328
PHYS331,PHYS,331
POL S281,POL S,281
POL S315,POL S,315
POL S329,POL S,329
POL S330,POL S,330
POL S337,POL S,337
POL S342,POL S,342
POL S373,POL S,373
PORT105,PORT,105
PORT365,PORT,365
PRSAN201,PRSAN,201
PSYCH210,PSYCH,210
PSYCH302,PSYCH,302
PSYCH303,PSYCH,303
PSYCH330,PSYCH,330
PSYCH331,PSYCH,331
PSYCH334,PSYCH,334
PUBPOL321,PUBPOL,321
Q SCI292,Q SCI,292
R E363,R E,363
RELIG120,RELIG,120
RELIG211,RELIG,211
RELIG354,RELIG,354
RUSS112,RUSS,112
RUSS113,RUSS,113
RUSS210,RUSS,210
RUSS260,RUSS,260
RUSS304,RUSS,304
SCAND232,SCAND,232
SCAND271,SCAND,271
SCAND327,SCAND,327
SCAND331,SCAND,331
SCAND345,SCAND,345
SCAND375,SCAND,375
SLAVIC210,SLAVIC,210
SLAVIC351,SLAVIC,351
SOC WF311,SOC WF,311
SOC WF320,SOC WF,320
SOC WF390,SOC WF,390
SOC240,SOC,240
SOC275,SOC,275
SOC337,SOC,337
SOC368,SOC,368
SOC377,SOC,377
SPAN307,SPAN,307
SPAN322,SPAN,322
SPAN332,SPAN,332
SPAN333,SPAN,333
SPAN392,SPAN,392
SPAN398,SPAN,398
SPHSC306,SPHSC,306
STAT340,STAT,340
STAT341,STAT,341
STAT342,STAT,342
STMATH381,STMATH,381
STMATH392,STMATH,392
SWA103,SWA,103
SWED103,SWED,103
SWED301,SWED,301
T ACCT301,T ACCT,301
T ACCT311,T ACCT,311
T AMST220,T AMST,220
T ARTS120,T ARTS,120
T ARTS225,T ARTS,225
T BGEN200,T BGEN,200
T BIOL306,T BIOL,306
T BIOL340,T BIOL,340
T CHEM105,T CHEM,105
T CHEM333,T CHEM,333
T CORE104,T CORE,104
T CRIM352,T CRIM,352
T CRIM364,T CRIM,364
T CRIM390,T CRIM,390
T EDUC290,T EDUC,290
T EGL110,T EGL,110
T EGL210,T EGL,210
T EGL301,T EGL,301
T FILM388,T FILM,388
T GEOG321,T GEOG,321
T GH101,T GH,101
T GIS350,T GIS,350
T HIST290,T HIST,290
T HIST366,T HIST,366
T HIST375,T HIST,375
T HIST377,T HIST,377
T HLTH285,T HLTH,285
T HLTH330,T HLTH,330
T INFO200,T INFO,200
T INFO320,T INFO,320
T INST310,T INST,310
T LAW300,T LAW,300
T LAW339,T LAW,339
T LAX376,T LAX,376
T NURS345,T NURS,345
T PHIL270,T PHIL,270
T PHIL361,T PHIL,361
T SOC365,T SOC,365
T UDE360,T UDE,360
T UNIV190,T UNIV,190
T URB200,T URB,200
T URB225,T URB,225
T URB250,T URB,250
TAGLG103,TAGLG,103
TBIOMD201,TBIOMD,201
TCES102,TCES,102
TCES103,TCES,103
TCOM330,TCOM,330
TCOM349,TCOM,349
TCOM351,TCOM,351
TCSS322,TCSS,322
TCSS342,TCSS,342
TCSS360,TCSS,360
TECON325,TECON,325
TECON370,TECON,370
TESC239,TESC,239
THAI211,THAI,211
TKISH202,TKISH,202
TKISH203,TKISH,203
TMATH125,TMATH,125
TMATH126,TMATH,126
TMATH350,TMATH,350
TME311,TME,311
TME331,TME,331
TPOL S204,TPOL S,204
TPOL S350,TPOL S,350
TPOL S360,TPOL S,360
TPSYCH310,TPSYCH,310
TPSYCH311,TPSYCH,311
TPSYCH314,TPSYCH,314
TPSYCH320,TPSYCH,320
TPSYCH322,TPSYCH,322
TRELIG210,TRELIG,210
TRELIG350,TRELIG,350
TSOCWF311,TSOCWF,311
TSOCWF350,TSOCWF,350
TSOCWF374,TSOCWF,374
TSPAN361,TSPAN,361
TWRT292,TWRT,292
TWRT311,TWRT,311
TWRT333,TWRT,333
URBDP370,URBDP,370
VIET123,VIET,123
VIET313,VIET,313
